Term,Definition
Classical Conditioning,Learning process that occurs through associations between environmental stimuli and naturally occurring stimuli.
Operant Conditioning,Learning process in which behavior is modified by its consequences through reinforcement or punishment.
Cognitive Dissonance,Mental discomfort that results from holding conflicting beliefs values or attitudes.
Confirmation Bias,Tendency to search for information that confirms one's preexisting beliefs.
Neuroplasticity,Brain's ability to reorganize itself by forming new neural connections throughout life.
Self-Efficacy,Individual's belief in their capacity to execute behaviors necessary to produce specific performance attainments.
Social Facilitation,Tendency for people to perform better on simple tasks when in the presence of others.
Group Polarization,Phenomenon where group discussion strengthens the dominant position among group members.
Bystander Effect,The decreased likelihood of a person intervening in an emergency when others are present.
Fundamental Attribution Error,Tendency to overestimate the influence of personality and underestimate the influence of situations.
Attachment Theory,Theory suggesting that children form attachment styles with caregivers that influence relationships throughout life.
Maslow's Hierarchy of Needs,Theory in psychology proposing a hierarchy of human needs from basic physiological needs to self-actualization.
Conformity,Change in behavior due to the real or imagined influence of other people.
Obedience,Form of social influence where a person follows direct commands from a perceived authority figure.
Schema,Cognitive framework that helps organize and interpret information in the world around us.
Learned Helplessness,Condition in which a person suffers from a sense of powerlessness following exposure to uncontrollable events.
Intrinsic Motivation,Engaging in behavior because it is personally rewarding rather than for external reward.
Extrinsic Motivation,Performing an activity to attain a reward or avoid punishment rather than for inherent satisfaction.
Nature vs. Nurture,Debate about whether human behavior is determined by environment or genetics.
Critical Period,Specific time during development when the presence or absence of certain experiences has a long-lasting influence.
Neurotransmitters,Chemical messengers that transmit signals across a synapse from one neuron to another.
Serotonin,Neurotransmitter believed to help regulate mood, social behavior, appetite, digestion, sleep, and memory.
Dopamine,Neurotransmitter associated with reward and pleasure systems in the brain.
Fight-or-Flight Response,Physiological reaction that occurs in response to a perceived harmful event, attack, or threat to survival.
Limbic System,Set of brain structures involved in processing emotions and forming memories.
Habituation,Decrease in response to a stimulus after repeated presentations.
Sensory Adaptation,Diminished sensitivity to a stimulus after constant exposure.
Stereotype Threat,Situation in which people are at risk of confirming negative stereotypes about their social group.
Implicit Bias,Unconscious attitudes or stereotypes that affect our understanding, actions, and decisions.
Positive Reinforcement,Adding a desirable stimulus to increase a behavior.
Negative Reinforcement,Removing an aversive stimulus to increase a behavior.
Positive Punishment,Adding an aversive stimulus to decrease a behavior.
Negative Punishment,Removing a desirable stimulus to decrease a behavior.
Defense Mechanisms,Unconscious psychological strategies to protect against anxiety and maintain self-image.
Projection,Defense mechanism where one's own unacceptable urges are attributed to another person.
Regression,Defense mechanism where one reverts to an earlier stage of development to cope with stress.
Displacement,Defense mechanism that shifts emotional reactions from the original object to a more acceptable substitute.
Sublimation,Defense mechanism where unacceptable impulses are transformed into socially acceptable activities.
Repression,Defense mechanism that pushes unacceptable thoughts into the unconscious.
Rationalization,Defense mechanism involving the justification of actions or feelings in a logical manner.
Denial,Defense mechanism in which a person refuses to recognize or acknowledge an unbearable reality.
Groupthink,Psychological phenomenon that occurs within a group where the desire for harmony results in irrational decision-making.
Compliance,Superficial change in behavior to fit in with a group while privately disagreeing.
Identification,Modeling behavior after someone else because of an emotional attachment.
Internalization,Adopting values and attitudes of another person as your own.
Cognitive Bias,Systematic pattern of deviation from rational judgment in specific situations.
Availability Heuristic,Mental shortcut that relies on immediate examples that come to mind when evaluating a topic.
Representativeness Heuristic,Mental shortcut used when making judgments about the probability of an event based on similarity.
Anchoring Bias,Tendency to rely too heavily on the first piece of information offered when making decisions.
Self-Serving Bias,Tendency to attribute successes to internal factors and failures to external factors.
Just-World Hypothesis,Cognitive bias that assumes that people get what they deserve in life.
